artist_display_name,artist_begin_date,artist_end_date,artist_display_bio,artist_alpha_sort,artist_nationality,artist_ulan_url,artist_wikidata_url,artist_id
Unknown,,,,,,,,UNKNOWN003
James Gillinder and Sons,1861      ,1930      ,"American, 1861–ca. 1930","Gillinder and Sons, James",American,http://vocab.getty.edu/page/ulan/500524407,https://www.wikidata.org/wiki/Q99264077,JS001
Forestville Manufacturing Company,1835      ,1853      ,1835–1853,Forestville Manufacturing Company ,American,,,FC001
Conrad Henninger,1885      ,1932      ,active ca. 1888–1932,"Henninger, Conrad",American,,,CH001
Pierre Stephan,1765      ,1795      ,"French, active ca. 1770–95","Stephan, Pierre",French,http://vocab.getty.edu/page/ulan/500100483,,PS001
New England Glass Company,1818      ,1888      ,"American, East Cambridge, Massachusetts, 1818–1888",New England Glass Company ,American,http://vocab.getty.edu/page/ulan/500356007,https://www.wikidata.org/wiki/Q17083157,NC001
Union Glass Company,          ,          ,"American, Somerville, Massachusetts",Union Glass Company,American,(not assigned),https://www.wikidata.org/wiki/Q18356496,UC001
John Bailey,1736      ,1815      ,"American, active New York, 1736–1815","Bailey, John",American,http://vocab.getty.edu/page/ulan/500524521,,JB001
John Molineux,1797      ,1820      ,active ca. 1800–1820,"Molineux, John",American,,,JM001
Revere and Son,1787      ,          ,ca. 1787–?,Revere and Son,American,,,RS001
Paul Revere Jr.,1734      ,1818      ,"American, Boston, Massachusetts 1734–1818 Boston, Massachusetts","Revere, Paul, Jr.",American,http://vocab.getty.edu/page/ulan/500017620,https://www.wikidata.org/wiki/Q327071,PJ001
Louis C. Tiffany,1848      ,1933      ,"American, New York 1848–1933 New York","Tiffany, Louis C.",American,http://vocab.getty.edu/page/ulan/500030415,https://www.wikidata.org/wiki/Q312950,LT001
Richard Wittingham,1794      ,1818      ,active before 1795–ca. 1818,"Wittingham, Richard",American,,,RW001
Augustus Truesdell,1810      ,1872      ,"American, 1810–1872","Truesdale, Augustus",American,http://vocab.getty.edu/page/ulan/500086065,https://www.wikidata.org/wiki/Q112716914,AT001
United Society of Believers in Christ’s Second Appearing (“Shakers”),1750      ,9999      ,"American, active ca. 1750–present",United Society of Believers in Christ’s Second Appearing,American,(not assigned),https://www.wikidata.org/wiki/Q1370167,U(001
Messenger Company,          ,9999      , ,Messenger Company , ,,,MC001
John Singer Sargent,1856      ,1925      ,"American, Florence 1856–1925 London","Sargent, John Singer",American,http://vocab.getty.edu/page/ulan/500023972,https://www.wikidata.org/wiki/Q155626,JS002
John Gaines III,1704      ,1743      ,"American, 1704–1743","Gaines, John III",American,http://vocab.getty.edu/page/ulan/500331018,,JI001
Wood and Hughes,1845      ,1899      ,1845–99,Wood and Hughes ,American,,,WH001
Gustave Herter,1830      ,1898      ,1830–1898,"Herter, Gustave","German (Stuttgart, principality of Württemberg)",http://vocab.getty.edu/page/ulan/500088027,https://www.wikidata.org/wiki/Q1556712,GH001
Thomas Affleck,1740      ,1795      ,1740–1795,"Affleck, Thomas",American,http://vocab.getty.edu/page/ulan/500034377,https://www.wikidata.org/wiki/Q7786960,TA001
Henry Connelly,1770      ,1826      ,1770–1826,"Connelly, Henry",American,http://vocab.getty.edu/page/ulan/500071541,,HC001
"J. S. Ford, Johnson and Company",1867      ,1902      ,"American, 1867–1902","Ford, Johnson and Company J. S.",American,http://vocab.getty.edu/page/ulan/500524463,,JC001
Solomon Fussell,1723      ,1750      ,active ca. 1726–50,"Fussell, Solomon",American,http://vocab.getty.edu/page/ulan/500070225,,SF001
Herter Brothers,1864      ,1906      ,"German, active New York, 1864–1906",Herter Brothers,American,http://vocab.getty.edu/page/ulan/500274670,https://www.wikidata.org/wiki/Q1614654,HB001
Heywood Brothers and Wakefield Company,1897      ,1921      ,"American, 1897–1921",Heywood Brothers and Wakefield Company ,American,http://vocab.getty.edu/page/ulan/500524421,,HC002
Hudson and Brooks,1773      ,1873      ,active ca. 1823,Hudson and Brooks ,American,,,HB002
George Jakob Hunzinger,1835      ,1898      ,1835–1898,"Hunzinger, George Jakob",American,http://vocab.getty.edu/page/ulan/500005428,https://www.wikidata.org/wiki/Q55720552,GH002
George Washington Maher,1864      ,1926      ,1864–1926,"Maher, George Washington",American,http://vocab.getty.edu/page/ulan/500059532,https://www.wikidata.org/wiki/Q4285694,GM001
Léon Marcotte,1824      ,1887      ,1824–1887,"Marcotte, Léon",French,http://vocab.getty.edu/page/ulan/500026799,https://www.wikidata.org/wiki/Q1717331,LM001
Marks Adjustable Folding Chair Company,1877      ,1897      ,1877–97,Marks Adjustable Folding Chair Company ,American,,,MC002
Samuel McIntire,1757      ,1811      ,1757–1811,"McIntire, Samuel",American,http://vocab.getty.edu/page/ulan/500023295,https://www.wikidata.org/wiki/Q370420,SM001
John and Joseph W. Meeks,1833      ,1859      ,active ca. 1836–59,"Meeks, John and Joseph W.",American,,,JM002
Charles-Honoré Lannuier,1779      ,1819      ,France 1779–1819 New York,"Lannuier, Charles-Honoré",American,http://vocab.getty.edu/page/ulan/500256814,https://www.wikidata.org/wiki/Q5074741,CL001
Duncan Phyfe,1770      ,1854      ,"American (born Scotland), near Lock Fannich, Ross-Shire, Scotland 1768/1770–1854 New York","Phyfe, Duncan","American, born Scotland",http://vocab.getty.edu/page/ulan/500082047,https://www.wikidata.org/wiki/Q3041258,DP001
Pottier and Stymus Manufacturing Company,1858      ,1919      ,active ca. 1858–1918/19,Pottier and Stymus Manufacturing Company , ,http://vocab.getty.edu/page/ulan/500330539,https://www.wikidata.org/wiki/Q2106610,PC001
Henry Hobson Richardson,1836      ,1886      ,1836–1886,"Richardson, Henry Hobson",American,http://vocab.getty.edu/page/ulan/500016339,https://www.wikidata.org/wiki/Q723234,HR001
Frank Lloyd Wright,1867      ,1959      ,"American, Richland Center, Wisconsin 1867–1959 Phoenix, Arizona","Wright, Frank Lloyd",American,http://vocab.getty.edu/page/ulan/500020307,https://www.wikidata.org/wiki/Q5604,FW001
John Jelliff,1813      ,1893      ,1813–1893,"Jelliff, John",American,http://vocab.getty.edu/page/ulan/500062668,https://www.wikidata.org/wiki/Q55720851,JJ001
Joseph Meeks & Sons,1829      ,1835      ,"American, New York, 1829–35","Meeks, Joseph & Sons",American,http://vocab.getty.edu/page/ulan/500524443,https://www.wikidata.org/wiki/Q97054971,JS003
Auguste-Emile Rinquet-Leprince,1801      ,1886      ,1801–1886,"Ringuet-Leprince, Auguste-Emile",French,,,AR001
Tobey Furniture Company,1875      ,1954      ,1875–1954,Tobey Furniture Company,American,http://vocab.getty.edu/page/ulan/500267871,https://www.wikidata.org/wiki/Q99632136,TC003
Archer and Warner,          ,          ,"American, Philadelphia, Pennsylvania",Archer and Warner ,American,,,AW001
Henry N. Hooper,          ,9999      , ,"Hooper, Henry N.",American,,,HH001
Tiffany Studios,1902      ,1932      ,1902–32,Tiffany Studios , ,http://vocab.getty.edu/page/ulan/500331813,https://www.wikidata.org/wiki/Q19587243,TS001
Thomas Danforth Boardman,1784      ,1873      ,1784–1873,"Boardman, Thomas Danforth",American,http://vocab.getty.edu/page/ulan/500334231,https://www.wikidata.org/wiki/Q82160313,TB001
Henry Kellam Hancock,1816      ,1851      ,1816–1851,"Hancock, Henry Kellam", ,,,HH002
Pierre Charles L'Enfant,1754      ,1825      ,1754–1825,"L'Enfant, Pierre Charles", ,http://vocab.getty.edu/page/ulan/500011763,https://www.wikidata.org/wiki/Q264764,PL001
Louis Henry Sullivan,1856      ,1924      ,"American, Boston, Massachusetts 1856–1924 Chicago, Illinois","Sullivan, Louis Henry",American,http://vocab.getty.edu/page/ulan/500013453,https://www.wikidata.org/wiki/Q243240,LS001
Curtis and Dunning,1816      ,1833      ,1816–ca. 1833,Curtis and Dunning ,American,,,CD001
Aaron Willard Jr.,1783      ,1864      ,1783–1864,"Willard, Jr. Aaron",American,http://vocab.getty.edu/page/ulan/500076346,https://www.wikidata.org/wiki/Q4662538,AJ001
Samuel Danforth,1774      ,1816      ,1774–1816,"Danforth, Samuel",American,http://vocab.getty.edu/page/ulan/500034372,https://www.wikidata.org/wiki/Q99453266,SD001
William Bradford Jr.,1688      ,1758      ,1688–1758,"Bradford, Jr. William",American,,,WJ001
Josiah Danforth,1803      ,1872      ,1803–1872,"Danforth, Josiah",American,,,JD002
Thomas S. Derby,1786      ,1852      ,ca. 1786–1852,"Derby, Thomas S.",American,,,TD001
J. Eberly and Company,          ,9999      , ,Eberly and Company J.,American,,,JC003
Sylvester Griswold,          ,9999      , ,"Griswold, Sylvester",American,,,SG002
Samuel Hamlin,1746      ,1801      ,1746–1801,"Hamlin, Samuel",American,http://vocab.getty.edu/page/ulan/500056845,https://www.wikidata.org/wiki/Q109886856,SH001
Samuel Ely Hamlin,1774      ,1864      ,1774–1864,"Hamlin, Samuel Ely",American,,,SH002
Gershom Jones,1751      ,1809      ,1751–1809,"Jones, Gershom",American,,,GJ001
George Lightner,1749      ,1815      ,1749–1815,"Lightner, George",American,,,GL001
"Lyman, Fenton & Co.",1849      ,1849      ,1849–52,"Lyman, Fenton and Company ",American,,,LC001
