object_id,geography_type,city,state,county,country,region,subregion,locale,locus,excavation,river
33,['Made in'],['Philadelphia'],[],[],['United States'],[],[],[],[],[],[]
34,['Made in'],['Bristol'],[],[],['United States'],[],[],[],[],[],[]
35,['Made in'],['New York'],[],[],['United States'],[],[],[],[],[],[]
36,['Made in'],['Lebanon'],[],[],['United States'],[],[],[],[],[],[]
37,['Made in'],[],['Staffordshire'],['Staffordshire'],['England'],[],[],[],[],[],[]
38,['Made in'],[],['Staffordshire'],['Staffordshire'],['England'],[],[],[],[],[],[]
40,['Made in'],['East Cambridge'],[],[],['United States'],[],[],[],[],[],[]
41,['Made in'],['Somerville'],[],[],['United States'],[],[],[],[],[],[]
42,['Made in'],['New York'],[],[],['United States'],[],[],[],[],[],[]
43,['Made in'],['New York'],[],[],['United States'],[],[],[],[],[],[]
44,[],[],[],[],[],[],[],[],[],[],[]
45,[],[],[],[],[],[],[],[],[],[],[]
50,[],[],[],[],[],[],[],[],[],[],[]
51,[],[],[],[],[],[],[],[],[],[],[]
53,[],[],[],[],[],[],[],[],[],[],[]
56,[],[],[],[],[],[],[],[],[],[],[]
57,[],[],[],[],[],[],[],[],[],[],[]
62,[],[],[],[],[],[],[],[],[],[],[]
63,[],[],[],[],[],[],[],[],[],[],[]
64,['Made in'],['New York'],[],[],['United States'],[],[],[],[],[],[]
65,['Made in'],['New York'],[],[],['United States'],[],[],[],[],[],[]
68,[],[],[],[],[],[],[],[],[],[],[]
69,[],[],[],[],[],[],[],[],[],[],[]
70,[],[],[],[],[],[],[],[],[],[],[]
71,[],[],[],[],[],[],[],[],[],[],[]
78,['Made in'],[],[],[],['Spain'],[],[],[],[],[],[]
79,['Made in'],[],[],[],['Spain'],[],[],[],[],[],[]
80,['Probably made in'],['New York'],[],[],['United States'],[],[],[],[],[],[]
81,[],[],[],[],[],[],[],[],[],[],[]
86,[],[],[],[],[],[],[],[],[],[],[]
87,[],[],[],[],[],[],[],[],[],[],[]
88,[],[],[],[],[],[],[],[],[],[],[]
89,[],[],[],[],[],[],[],[],[],[],[]
90,[],[],[],[],[],[],[],[],[],[],[]
91,[],[],[],[],[],[],[],[],[],[],[]
92,['Made in'],['New York'],[],[],['United States'],[],[],[],[],[],[]
93,['Made in'],['New York'],[],[],['United States'],[],[],[],[],[],[]
98,[],[],[],[],[],[],[],[],[],[],[]
99,[],[],[],[],[],[],[],[],[],[],[]
100,"['Possibly made in', 'Possibly made in']",[],[],[],"['United States', 'England']",[],[],[],[],[],[]
101,"['Possibly made in', 'Possibly made in']",[],[],[],"['United States', 'England']",[],[],[],[],[],[]
102,[],[],[],[],[],[],[],[],[],[],[]
103,[],[],[],[],[],[],[],[],[],[],[]
104,[],[],[],[],[],[],[],[],[],[],[]
105,[],[],[],[],[],[],[],[],[],[],[]
106,['Made in'],['New York'],[],[],['United States'],[],[],[],[],[],[]
107,['Probably made in'],['New York'],[],[],['United States'],[],[],[],[],[],[]
108,['Made in'],['New York'],[],[],['United States'],[],[],[],[],[],[]
109,['Made in'],['New York'],[],[],['United States'],[],[],[],[],[],[]
110,['Made in'],['Boston'],[],[],['United States'],[],[],[],[],[],[]
111,['Made in'],['Boston'],[],[],['United States'],[],[],[],[],[],[]
112,['Made in'],['Boston'],[],[],['United States'],[],[],[],[],[],[]
113,['Made in'],['Boston'],[],[],['United States'],[],[],[],[],[],[]
114,['Made in'],['Boston'],[],[],['United States'],[],[],[],[],[],[]
115,['Made in'],['Boston'],[],[],['United States'],[],[],[],[],[],[]
116,['Made in'],['Boston'],[],[],['United States'],[],[],[],[],[],[]
117,['Made in'],['Boston'],[],[],['United States'],[],[],[],[],[],[]
119,['Made in'],['Boston'],[],[],['United States'],[],[],[],[],[],[]
120,['Made in'],['New York'],[],[],['United States'],[],[],[],[],[],[]
121,['Made in'],['New York'],[],[],['United States'],[],[],[],[],[],[]
122,['Made in'],['New York'],[],[],['United States'],[],[],[],[],[],[]
123,['Made in'],['New York'],[],[],['United States'],[],[],[],[],[],[]
124,['Made in'],['Delft'],[],[],['Netherlands'],[],[],[],[],[],[]
125,['Made in'],['Delft'],[],[],['Netherlands'],[],[],[],[],[],[]
126,['Made in'],[],['Staffordshire'],['Staffordshire'],['England'],[],[],[],[],[],[]
127,['Made in'],[],['Staffordshire'],['Staffordshire'],['England'],[],[],[],[],[],[]
128,['Made in'],[],['Staffordshire'],['Staffordshire'],['England'],[],[],[],[],[],[]
131,['Made in'],['Meriden'],[],[],['United States'],[],[],[],[],[],[]
133,['Made in'],['Oyster Bay'],[],[],['United States'],[],[],[],[],[],[]
134,['Made in'],['New Lebanon'],[],[],['United States'],[],[],[],[],[],[]
137,['Made in'],[],[],[],['England'],[],[],[],[],[],[]
139,['Made in'],['London'],[],[],['England'],[],[],[],[],[],[]
140,['Made in'],['London'],[],[],['England'],[],[],[],[],[],[]
146,['Made in'],[],[],[],['United States'],[],[],[],[],[],[]
147,"['Possibly made in', 'Possibly made in']",['Portsmouth'],[],[],"['United States', 'United States']",[],[],[],[],[],[]
151,"['Made in', 'Probably made in']",['Boston'],[],[],"['United States', 'United States']",['New England'],[],[],[],[],[]
154,['Made in'],[],[],[],['United States'],['New England'],[],[],[],[],[]
172,['Made in'],[],[],[],['United States'],[],[],[],[],[],[]
173,['Made in'],[],[],[],['United States'],['New England'],[],[],[],[],[]
177,['Possibly made in'],['Philadelphia'],[],[],['United States'],[],[],[],[],[],[]
179,"['Made in', 'Probably made in']","['Boston', 'Philadelphia']",[],[],['United States'],[],[],[],[],[],[]
185,['Made in'],['Philadelphia'],[],[],['United States'],[],[],[],[],[],[]
186,"['Possibly made in', 'Possibly made in']",['Portsmouth'],[],[],"['United States', 'United States']",[],[],[],[],[],[]
189,['Made in'],['New York'],[],[],['United States'],[],[],[],[],[],[]
190,['Made in'],[],[],[],['United States'],[],[],[],[],[],[]
193,['Probably made in'],['New York'],[],[],['United States'],[],[],[],[],[],[]
200,"['Possibly made in', 'Possibly made in']","['Boston', 'Charlestown']",[],[],"['United States', 'United States']",[],[],[],[],[],[]
201,['Made in'],[],[],[],['United States'],[],[],[],[],[],[]
202,['Made in'],[],[],[],['United States'],['New England'],[],[],[],[],[]
203,['Made in'],['Portsmouth'],[],[],['United States'],[],[],[],[],[],[]
205,['Made in'],['New York'],[],[],['United States'],[],[],[],[],[],[]
208,"['Possibly made in', 'Possibly made in']",[],[],[],"['United States', 'United States']",[],[],[],[],[],[]
209,['Made in'],['Philadelphia'],[],[],['United States'],[],[],[],[],[],[]
212,['Made in'],[],[],[],['United States'],[],[],[],[],[],[]
214,['Probably made in'],['New York'],[],[],['United States'],[],[],[],[],[],[]
218,['Made in'],['Philadelphia'],[],[],['United States'],[],[],[],[],[],[]
219,['Made in'],['Chicago'],[],[],['United States'],[],[],[],[],[],[]
220,['Made in'],['Philadelphia'],[],[],['United States'],[],[],[],[],[],[]
221,['Made in'],['New York'],[],[],['United States'],[],[],[],[],[],[]
223,['Made in'],['Portland'],[],[],['United States'],[],[],[],[],[],[]
224,['Made in'],['New York'],[],[],['United States'],[],[],[],[],[],[]
225,['Made in'],['New York'],[],[],['United States'],[],[],[],[],[],[]
226,['Made in'],[],[],[],['United States'],[],[],[],[],[],[]
227,['Made in'],['New York'],[],[],['United States'],[],[],[],[],[],[]
229,['Made in'],['New York'],[],[],['United States'],[],[],[],[],[],[]
230,['Made in'],['Salem'],[],[],['United States'],[],[],[],[],[],[]
231,['Made in'],['New York'],[],[],['United States'],[],[],[],[],[],[]
233,['Made in'],['New York'],[],[],['United States'],[],[],[],[],[],[]
234,['Made in'],['New York'],[],[],['United States'],[],[],[],[],[],[]
235,['Made in'],['New York'],[],[],['United States'],[],[],[],[],[],[]
236,['Made in'],['New York'],[],[],['United States'],[],[],[],[],[],[]
237,['Made in'],['New York'],[],[],['United States'],[],[],[],[],[],[]
239,['Made in'],['New York'],[],[],['United States'],[],[],[],[],[],[]
240,['Made in'],['New York'],[],[],['United States'],[],[],[],[],[],[]
243,[],[],[],[],[],[],[],[],[],[],[]
246,['Made in'],['Newark'],[],[],['United States'],[],[],[],[],[],[]
247,['Made in'],['Newark'],[],[],['United States'],[],[],[],[],[],[]
252,['Made in'],[],[],[],['United States'],[],[],[],[],[],[]
259,['Made in'],['New York'],[],[],['United States'],[],[],[],[],[],[]
260,['Made in'],['New York'],[],[],['United States'],[],[],[],[],[],[]
261,['Made in'],['New York'],[],[],['United States'],[],[],[],[],[],[]
265,"['Possibly made in', 'Possibly made in']","['New York', 'Paris']",[],[],"['United States', 'France']",[],[],[],[],[],[]
267,['Made in'],['New York'],[],[],['United States'],[],[],[],[],[],[]
268,['Made in'],['New York'],[],[],['United States'],[],[],[],[],[],[]
269,['Made in'],['New York'],[],[],['United States'],[],[],[],[],[],[]
270,['Made in'],['New York'],[],[],['United States'],[],[],[],[],[],[]
273,['Made in'],['Chicago'],[],[],['United States'],[],[],[],[],[],[]
275,['Made in'],[],[],[],['United States'],['Midwest'],[],[],[],[],[]
277,['Made in'],[],[],[],['United States'],['Midwest'],[],[],[],[],[]
280,['Made in'],['Philadelphia'],[],[],['United States'],[],[],[],[],[],[]
281,['Probably made in'],['Boston'],[],[],['United States'],[],[],[],[],[],[]
282,['Made in'],['New York'],[],[],['United States'],[],[],[],[],[],[]
283,['Made in'],[],[],[],['United States'],[],[],[],[],[],[]
284,['Probably made in'],['Bennington'],[],[],['United States'],[],[],[],[],[],[]
285,['Made in'],['Hartford'],[],[],['United States'],[],[],[],[],[],[]
287,"['Possibly made in', 'Possibly made in']",[],[],[],"['England', 'France']",[],[],[],[],[],[]
288,"['Possibly made in', 'Possibly made in']",[],[],[],"['England', 'France']",[],[],[],[],[],[]
289,"['Possibly made in', 'Possibly made in']",[],[],[],"['England', 'France']",[],[],[],[],[],[]
290,"['Possibly made in', 'Possibly made in']",[],[],[],"['England', 'France']",[],[],[],[],[],[]
291,"['Possibly made in', 'Possibly made in']",[],[],[],"['England', 'France']",[],[],[],[],[],[]
293,"['Possibly made in', 'Possibly made in']",[],[],[],"['England', 'France']",[],[],[],[],[],[]
295,"['Possibly made in', 'Possibly made in']",[],[],[],"['England', 'France']",[],[],[],[],[],[]
296,"['Possibly made in', 'Possibly made in']",[],[],[],"['England', 'France']",[],[],[],[],[],[]
297,"['Possibly made in', 'Possibly made in']",[],[],[],"['England', 'France']",[],[],[],[],[],[]
298,['Made in'],['Paris'],[],[],['France'],[],[],[],[],[],[]
299,['Made in'],[],[],[],['United States'],[],[],[],[],[],[]
308,['Made in'],['Chicago'],[],[],['United States'],[],[],[],[],[],[]
311,['Made in'],['Chicago'],[],[],['United States'],[],[],[],[],[],[]
312,['Made in'],[],[],[],['China'],[],[],[],[],[],[]
313,['Made in'],[],[],[],['China'],[],[],[],[],[],[]
314,['Made in'],[],[],[],['China'],[],[],[],[],[],[]
315,['Made in'],['Concord'],[],[],['United States'],[],[],[],[],[],[]
316,['Made in'],['Boston'],[],[],['United States'],[],[],[],[],[],[]
317,['Made in'],[],[],[],['United States'],[],[],[],[],[],[]
318,['Made in'],['Sandwich'],[],[],['United States'],[],[],[],[],[],[]
319,['Made in'],[],[],[],['Mexico'],[],[],[],[],[],[]
322,['Made in'],['Hartford'],[],[],['United States'],[],[],[],[],[],[]
324,"['Possibly made in', 'Possibly made in']",[],[],[],"['England', 'France']",[],[],[],[],[],[]
325,"['Possibly made in', 'Possibly made in']",[],[],[],"['England', 'France']",[],[],[],[],[],[]
326,['Probably made in'],['Pittsburgh'],[],[],['United States'],[],[],[],[],[],[]
327,['Made in'],[],[],[],['United States'],[],[],[],[],[],[]
328,['Made in'],[],[],[],['United States'],[],[],[],[],[],[]
329,[],[],[],[],[],[],[],[],[],[],[]
332,['Made in'],['Strasburg'],[],[],['United States'],[],[],[],[],[],[]
333,['Made in'],[],[],[],['China'],[],[],[],[],[],[]
334,['Made in'],['Boston'],[],[],['United States'],[],[],[],[],[],[]
335,['Made in'],['New York'],[],[],['United States'],[],[],[],[],[],[]
336,['Made in'],['Middletown'],[],[],['United States'],[],[],[],[],[],[]
337,['Made in'],['Middletown'],[],[],['United States'],[],[],[],[],[],[]
338,['Made in'],['Strasburg'],[],[],['United States'],[],[],[],[],[],[]
339,['Made in'],['Boston'],[],[],['United States'],[],[],[],[],[],[]
340,['Made in'],['Baltimore'],[],[],['United States'],[],[],[],[],[],[]
341,['Made in'],['Providence'],[],[],['United States'],[],[],[],[],[],[]
342,['Made in'],['Providence'],[],[],['United States'],[],[],[],[],[],[]
343,['Made in'],['Providence'],[],[],['United States'],[],[],[],[],[],[]
344,['Made in'],['Baltimore'],[],[],['United States'],[],[],[],[],[],[]
345,['Made in'],['Bennington'],[],[],['United States'],[],[],[],[],[],[]
346,['Made in'],['Bennington'],[],[],['United States'],[],[],[],[],[],[]
347,['Made in'],['Boston'],[],[],['United States'],[],[],[],[],[],[]
348,['Made in'],['Bennington'],[],[],['United States'],[],[],[],[],[],[]
349,['Made in'],[],['Staffordshire'],['Staffordshire'],['England'],[],[],[],[],[],[]
350,['Made in'],[],['Staffordshire'],['Staffordshire'],['England'],[],[],[],[],[],[]
