object_id,is_highlight,is_public_domain,department,gallery_number,floor_name,wing_name
33,False,False,The American Wing,774,1st Floor Mezzanine,The American Wing
34,False,True,The American Wing,774,1st Floor Mezzanine,The American Wing
35,True,False,The American Wing,706,2nd Floor,The American Wing
36,False,False,The American Wing,774,1st Floor Mezzanine,The American Wing
37,False,True,The American Wing,774,1st Floor Mezzanine,The American Wing
38,False,True,The American Wing,774,1st Floor Mezzanine,The American Wing
40,False,True,The American Wing,774,1st Floor Mezzanine,The American Wing
41,False,True,The American Wing,774,1st Floor Mezzanine,The American Wing
42,False,True,The American Wing,724,1st Floor,The American Wing
43,False,True,The American Wing,724,1st Floor,The American Wing
44,False,True,The American Wing,774,1st Floor Mezzanine,The American Wing
45,False,True,The American Wing,774,1st Floor Mezzanine,The American Wing
50,False,True,The American Wing,774,1st Floor Mezzanine,The American Wing
51,False,True,The American Wing,774,1st Floor Mezzanine,The American Wing
53,False,True,The American Wing,774,1st Floor Mezzanine,The American Wing
56,False,True,The American Wing,774,1st Floor Mezzanine,The American Wing
57,False,True,The American Wing,774,1st Floor Mezzanine,The American Wing
62,False,True,The American Wing,741,1st Floor,The American Wing
63,False,True,The American Wing,741,1st Floor,The American Wing
64,False,True,The American Wing,728,1st Floor,The American Wing
65,False,True,The American Wing,728,1st Floor,The American Wing
68,False,True,The American Wing,719,2nd Floor,The American Wing
69,False,True,The American Wing,719,2nd Floor,The American Wing
70,False,True,The American Wing,774,1st Floor Mezzanine,The American Wing
71,False,True,The American Wing,774,1st Floor Mezzanine,The American Wing
78,False,True,The American Wing,774,1st Floor Mezzanine,The American Wing
79,False,True,The American Wing,774,1st Floor Mezzanine,The American Wing
80,False,True,The American Wing,718,2nd Floor,The American Wing
81,False,True,The American Wing,718,2nd Floor,The American Wing
86,False,True,The American Wing,774,1st Floor Mezzanine,The American Wing
87,False,True,The American Wing,774,1st Floor Mezzanine,The American Wing
88,False,True,The American Wing,774,1st Floor Mezzanine,The American Wing
89,False,True,The American Wing,774,1st Floor Mezzanine,The American Wing
90,False,True,The American Wing,774,1st Floor Mezzanine,The American Wing
91,False,True,The American Wing,774,1st Floor Mezzanine,The American Wing
92,False,True,The American Wing,729,1st Floor,The American Wing
93,False,True,The American Wing,729,1st Floor,The American Wing
98,False,False,The American Wing,774,1st Floor Mezzanine,The American Wing
99,False,False,The American Wing,774,1st Floor Mezzanine,The American Wing
100,False,True,The American Wing,774,1st Floor Mezzanine,The American Wing
101,False,True,The American Wing,774,1st Floor Mezzanine,The American Wing
102,False,True,The American Wing,774,1st Floor Mezzanine,The American Wing
103,False,True,The American Wing,774,1st Floor Mezzanine,The American Wing
104,False,True,The American Wing,774,1st Floor Mezzanine,The American Wing
105,False,True,The American Wing,774,1st Floor Mezzanine,The American Wing
106,False,True,The American Wing,774,1st Floor Mezzanine,The American Wing
107,False,True,The American Wing,774,1st Floor Mezzanine,The American Wing
108,False,True,The American Wing,774,1st Floor Mezzanine,The American Wing
109,False,True,The American Wing,774,1st Floor Mezzanine,The American Wing
110,False,True,The American Wing,774,1st Floor Mezzanine,The American Wing
111,False,True,The American Wing,774,1st Floor Mezzanine,The American Wing
112,False,True,The American Wing,774,1st Floor Mezzanine,The American Wing
113,False,True,The American Wing,774,1st Floor Mezzanine,The American Wing
114,False,True,The American Wing,719,2nd Floor,The American Wing
115,False,True,The American Wing,719,2nd Floor,The American Wing
116,False,True,The American Wing,774,1st Floor Mezzanine,The American Wing
117,False,True,The American Wing,774,1st Floor Mezzanine,The American Wing
119,False,True,The American Wing,774,1st Floor Mezzanine,The American Wing
120,False,False,The American Wing,774,1st Floor Mezzanine,The American Wing
121,False,False,The American Wing,774,1st Floor Mezzanine,The American Wing
122,False,True,The American Wing,774,1st Floor Mezzanine,The American Wing
123,False,True,The American Wing,774,1st Floor Mezzanine,The American Wing
124,False,True,The American Wing,712,3rd Floor,The American Wing
125,False,True,The American Wing,712,3rd Floor,The American Wing
